Id,SalePrice
1201,99266.35
1202,204693.77
1203,135505.17
1204,218478.98
1205,149969.73
1206,289461.6
1207,112865.03
1208,207764.12
1209,143613.14
1210,290545.62
1211,186541.94
1212,227457.64
1213,94973.07
1214,130555.93
1215,129536.484
1216,119046.96
1217,129370.984
1218,266822.22
1219,84325.05
1220,91717.266
1221,106189.24
1222,129413.16
1223,167080.7
1224,138790.45
1225,197817.23
1226,143837.3
1227,223824.34
1228,151539.0
1229,402369.25
1230,138484.44
1231,190389.34
1232,143980.78
1233,100197.734
1234,126555.914
1235,123134.73
1236,138818.83
1237,161265.72
1238,226395.89
1239,141590.11
1240,232147.34
1241,212452.61
1242,257916.84
1243,166394.84
1244,427330.25
1245,213141.33
1246,186473.4
1247,195370.36
1248,148270.33
1249,160572.89
1250,119024.19
1251,236259.84
1252,182756.27
1253,115946.35
1254,244187.64
1255,191922.6
1256,137291.73
1257,334253.88
1258,88014.52
1259,179715.92
1260,148884.47
1261,185139.33
1262,129912.93
1263,148494.05
1264,176202.33
1265,157604.27
1266,168528.06
1267,138810.17
1268,384639.1
1269,388936.47
1270,134653.3
1271,223505.4
1272,169680.84
1273,131236.53
1274,185523.33
1275,133517.62
1276,147248.66
1277,163279.69
1278,187774.42
1279,252727.84
1280,80555.16
1281,206623.86
1282,189460.5
1283,145550.05
1284,140683.31
1285,192670.6
1286,132490.7
1287,156331.34
1288,170809.67
1289,257706.55
1290,266849.1
1291,155731.5
1292,116538.47
1293,122701.055
1294,176715.6
1295,114046.516
1296,129057.09
1297,141262.06
1298,139599.73
1299,441487.1
1300,148328.58
1301,222792.75
1302,161279.98
1303,314303.38
1304,218514.58
1305,142220.7
1306,347594.56
1307,196538.27
1308,142909.05
1309,143964.77
1310,165158.53
1311,305570.2
1312,206664.22
1313,337496.47
1314,344453.25
1315,125167.86
1316,184402.56
1317,259228.39
1318,202175.36
1319,283644.78
1320,115696.99
1321,166793.31
1322,78231.17
1323,222572.7
1324,78705.99
1325,300567.3
1326,69722.81
1327,91173.63
1328,145162.89
1329,238471.64
1330,177158.4
1331,254980.06
1332,128652.13
1333,122332.125
1334,129618.32
1335,124366.81
1336,165284.25
1337,142625.14
1338,68728.125
1339,218693.7
1340,123516.03
1341,93875.72
1342,161535.47
1343,245564.84
1344,173578.61
1345,183486.47
1346,92409.36
1347,240102.16
1348,303889.28
1349,235393.14
1350,179748.05
1351,204123.28
1352,173304.77
1353,130054.8
1354,375105.34
1355,243077.39
1356,187897.36
1357,113015.234
1358,159010.42
1359,169032.7
1360,394993.84
1361,203704.56
1362,267645.62
1363,137175.97
1364,168817.06
1365,139881.69
1366,207332.66
1367,210093.97
1368,128442.266
1369,141327.36
1370,240527.88
1371,108801.8
1372,183094.17
1373,268119.28
1374,384501.2
1375,254491.92
1376,245220.31
1377,104268.66
1378,136600.55
1379,97612.07
1380,142565.02
1381,79247.68
1382,220007.34
1383,153987.52
1384,151743.42
1385,110212.51
1386,110565.305
1387,295786.72
1388,174988.77
1389,353265.12
1390,140647.05
1391,215302.7
1392,121056.03
1393,133288.3
1394,161672.08
1395,230166.23
1396,279912.12
1397,180214.97
1398,132865.31
1399,143722.62
1400,157822.9
1401,125154.305
1402,184515.58
1403,187977.56
1404,258912.78
1405,92859.01
1406,281068.78
1407,129952.484
1408,119687.586
1409,107528.74
1410,212001.27
1411,227974.98
1412,151604.0
1413,95697.28
1414,269233.6
1415,208812.9
1416,205113.55
1417,108115.28
1418,317949.7
1419,131627.7
1420,214282.42
1421,163159.22
1422,139947.45
1423,140601.86
1424,185753.83
1425,140879.8
1426,135198.48
1427,253148.36
1428,132696.48
1429,121654.72
1430,203670.2
1431,185380.27
1432,139877.9
1433,114570.164
1434,187133.75
1435,163395.88
1436,162678.84
1437,113561.445
1438,380783.7
1439,155034.6
1440,180293.31
1441,195275.7
1442,142420.52
1443,375998.53
1444,119458.05
1445,206577.61
1446,115314.484
1447,155134.47
1448,263506.94
1449,110861.805
1450,89444.54
1451,128540.01
1452,253261.23
1453,129595.18
1454,127132.59
1455,185193.33
1456,170901.06
1457,190312.14
1458,245323.94
1459,133324.72
1460,147763.95
